Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm,IV
27500.0,Call,246.0,0.0,-4604213.810418361,3289.1382800224687,-128957619.69197327,1345467.9663136047,0.32817245
27500.0,Put,1025.0,92.0,-15342093.127463821,14344.614951882368,35289873.60810192,4465381.749013133,0.25333218
27550.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.32301258
27550.0,Put,8.0,6.0,-125247.22125847083,115.55052716640509,287045.56829031213,35519.57982635097,0.25016535
27600.0,Call,14.0,0.0,-279199.3446143136,194.86179765145397,-7293869.743057414,77410.7073579113,0.31877411
27600.0,Put,394.0,13.0,-6476038.552182946,5876.561101123443,14853633.617017802,1788203.3778455423,0.24764998
27650.0,Call,3.0,0.0,-61762.285842832345,42.656324062042714,-1558511.4041101586,16664.920749235716,0.31352406
27650.0,Put,96.0,32.0,-1652782.607338118,1477.4526972751391,3781699.4858382368,444081.6755206826,0.24462811
27700.0,Call,1.0,0.0,-21282.421317328713,14.495331933327748,-517571.10064610746,5583.580709554316,0.30916151
27700.0,Put,614.0,12.0,-11088374.86848662,9749.239989902893,25353254.641602892,2896866.0963410437,0.24184036
27750.0,Call,59.0,0.0,-1298478.5173587212,871.8710071107532,-30419455.006019473,330990.4834674876,0.30472754
27750.0,Put,125.0,11.0,-2370562.1824929314,2046.9637565935382,5424795.8661810635,601703.7236525094,0.23925407
27800.0,Call,83.0,0.0,-1889635.1682197447,1250.4244725043618,-42623750.7795477,467633.8755823882,0.30022201
27800.0,Put,155.0,1.0,-3085335.049530101,2616.42014606141,7060524.635723753,760262.7021929906,0.23651523
27850.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.29651645
27850.0,Put,12.0,14.0,-250924.04620462778,208.67281737886145,574995.8733442097,59972.58928069769,0.23394173
27900.0,Call,66.0,0.0,-1610576.762596811,1030.739519185661,-33585215.76704429,374649.28642276063,0.29185058
27900.0,Put,147.0,6.0,-3227470.6027289177,2631.9564873059708,7399198.853939307,747547.1101406793,0.23120599
27950.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.28711226
27950.0,Put,44.0,8.0,-1014951.6874028826,810.4700129762942,2330641.39441655,227593.88055176035,0.22860366
28000.0,Call,236.0,1.0,-6181361.627221652,3819.4271774405534,-118924775.03382666,1346505.6600098317,0.2831224
28000.0,Put,2469.0,177.0,-59810507.292434715,46761.98842497161,137438620.5902019,12971704.87004624,0.22583161
28050.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.27822183
28050.0,Put,22.0,15.0,-559931.7035465343,428.0106916928331,1288862.5139351112,117321.18510994007,0.22316478
28100.0,Call,73.0,2.0,-2055608.9287569516,1220.1114388293797,-36373459.001001164,417461.93739948317,0.2748232
28100.0,Put,215.0,17.0,-5750776.298393369,4291.779598246066,13271534.12503292,1162719.5627607591,0.22058037
28150.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.27051415
28150.0,Put,31.0,10.0,-871530.5255856697,634.1247260788681,2018042.025761682,169819.58825839648,0.21805711
28200.0,Call,74.0,2.0,-2243132.4962393977,1272.0651635349777,-36398913.46147609,422555.2782006711,0.26685158
28200.0,Put,181.0,57.0,-5348568.18258452,3788.7639468458437,12434218.91370398,1003018.6912354674,0.21557536
28250.0,Call,102.0,1.0,-3210318.6182110896,1780.2459587146839,-49850070.3293114,581276.0350267359,0.26231366
28250.0,Put,294.0,20.0,-9130768.301636213,6288.006754075284,21323397.508830026,1645546.0648382222,0.21311697
28300.0,Call,36.0,0.0,-1176491.5702952337,635.5639500592647,-17463186.226397753,204407.1268648023,0.25838954
28300.0,Put,94.0,15.0,-3067009.424664988,2052.5834388840717,7186539.688219805,530372.5785477305,0.21044391
28350.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.25503055
28350.0,Put,11.0,6.0,-377096.5750819809,244.60895241164906,888374.5190600187,62462.91525542715,0.20799168
28400.0,Call,24.0,0.0,-845992.0484182897,431.25049783756083,-11450403.831503943,134623.28134193452,0.25081383
28400.0,Put,136.0,109.0,-4897325.823313823,3074.1135114488266,11602753.947363382,775578.858393504,0.20551613
28450.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.2471314
28450.0,Put,29.0,40.0,-1096632.3344664997,664.3386115231498,2617287.685188065,165702.22651159202,0.20320214
28500.0,Call,464.0,2.0,-17635046.344944477,8395.999430717275,-217103415.65666613,2549153.751104186,0.24393708
28500.0,Put,1047.0,342.0,-41559425.80216656,24254.868623762104,99923835.43188184,5978239.23163362,0.20082528
28550.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.24054474
28550.0,Put,65.0,14.0,-2707208.8076012484,1519.2104019036035,6557372.856836486,369829.05069552857,0.19837522
28600.0,Call,315.0,9.0,-12909504.560990958,5691.076047511005,-144206400.42830604,1678621.260734921,0.23695612
28600.0,Put,182.0,34.0,-7949232.246471192,4276.235863150856,19422435.06418278,1028463.4235060796,0.19601983
28650.0,Call,2.0,0.0,-85047.6120613762,35.87929209118739,-904383.9568445398,10442.19662897107,0.23378433
28650.0,Put,13.0,4.0,-595041.101728648,305.85939380618674,1468206.3658694369,72689.46299908095,0.19373156
28700.0,Call,65.0,0.0,-2868756.325068944,1155.6304509237882,-29017796.105566874,331490.8558785037,0.23039023
28700.0,Put,187.0,0.0,-8965687.391389113,4392.2389879469965,22334126.30556598,1030639.5742478366,0.19131935
28750.0,Call,88.0,0.0,-4032442.2427855916,1547.0961698465205,-38762850.29834351,436890.18334010674,0.22677489
