Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm,IV
4165.0,Call,43.0,0.0,-534741.2965351669,3317.9519685514683,-14479994.682452658,24331.579496356237,0.23772657
4165.0,Put,76.0,6.0,-930711.678099259,5598.087077558092,8224733.662661396,37576.680569641096,0.2440157
4170.0,Call,68.0,0.0,-852183.2857069392,5192.51001079582,-22797623.04605899,38091.52371564782,0.23768907
4170.0,Put,68.0,2.0,-839297.0779946723,4961.698197903785,7454116.233063771,33249.96495711433,0.24378456
4175.0,Call,826.0,0.0,-10431095.739116913,62404.07910525395,-275697012.4931832,457907.87154749496,0.2376244
4175.0,Put,186.0,3.0,-2312359.6758565996,13417.878305966644,20663714.653451666,89838.35889144138,0.24375831
4180.0,Call,10.0,0.0,-127248.97524731077,747.2937695919563,-3322871.115295735,5484.4757564411975,0.23753298
4180.0,Put,41.0,2.0,-513484.46712855785,2925.125632686921,4614444.682776644,19559.265799028228,0.24362974
4185.0,Call,11.0,0.0,-141064.97255569795,813.3666751618193,-3639068.4715753146,5967.99904106182,0.23733936
4185.0,Put,28.0,0.0,-353181.8603829629,1974.0006403370562,3192701.20375089,13184.262649899807,0.24355117
4190.0,Call,440.0,99.0,-5684049.055560837,32145.918850029175,-144896328.29460883,235952.81317886306,0.2372716
4190.0,Put,341.0,0.0,-4329215.739797934,23708.540460906694,39410583.48815275,158282.77977015843,0.24367083
4195.0,Call,1.0,0.0,-12905.436616847934,70.49591289425172,-326840.271439214,524.4670568340417,0.24016489
4195.0,Put,19.0,0.0,-242872.6930034637,1303.888519262886,2224428.487383674,8695.094316537376,0.24361369
4200.0,Call,846.0,3.0,-10904897.781468768,57535.86815774644,-274468600.3834924,433695.45183473884,0.24298065
4200.0,Put,2544.0,107.0,-32734451.575462047,172171.16652595875,301718421.67480433,1146997.108129472,0.24360424
4205.0,Call,14.0,0.0,-181651.67930785826,938.7305516942992,-4520651.3397103725,7080.815368990363,0.24294301
4205.0,Put,39.0,1.0,-505123.58097216365,2602.1274450590886,4684879.690179364,17315.50823666318,0.24356821
4210.0,Call,20.0,0.0,-261262.53066999553,1322.5088020152746,-6427945.6453898065,9978.620074908233,0.2428063
4210.0,Put,109.0,0.0,-1421583.3041327298,7175.853951127021,13255269.011112206,47662.50635057267,0.24336041
4215.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.24278937
4215.0,Put,171.0,0.0,-2242772.2631594893,11065.306819277866,21070523.412875783,73473.49906559446,0.24356255
4220.0,Call,178.0,0.0,-2355142.710093002,11415.376511291024,-56660361.064460896,86249.98244420429,0.24267409
4220.0,Put,41.0,0.0,-541098.923195782,2611.3864046909794,5115446.304820899,17316.858076553977,0.24352003
4225.0,Call,327.0,0.0,-4353626.863284314,20634.79473829723,-103582031.63465692,156026.91924433337,0.24260515
4225.0,Put,127.0,0.0,-1685762.8214967197,7949.478538536698,16047123.716391582,52666.999034711065,0.24359445
4230.0,Call,19.0,0.0,-254480.24430038544,1178.5845112915358,-5988644.469369377,8920.824499937044,0.2425816
4230.0,Put,415.0,0.0,-5543836.307450582,25563.40618512113,53071910.82651599,169041.6539156972,0.24342848
4235.0,Call,10.0,0.0,-134735.9348685106,609.5080826858248,-3136185.3135032505,4617.930978274181,0.24253187
4235.0,Put,90.0,77.0,-1209403.5668548308,5447.01052281694,11650812.301554687,35964.64694353243,0.24337931
4240.0,Call,27.0,0.0,-365700.7705784195,1613.4458534903383,-8423675.288420137,12247.123208363178,0.24266718
4240.0,Put,35.0,7.0,-472991.66216342174,2079.1242059731976,4586480.616851352,13708.340610823821,0.24337463
4245.0,Call,216.0,0.0,-2942874.881141672,12671.276255796633,-67049438.99587476,96269.10203360178,0.24256494
