Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm,IV
4150.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.32021896
4150.0,Put,217.0,2.0,-2237438.3600897714,9776.745301873536,4301490.779278002,1504401.7780850418,0.34651493
4175.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.32021896
4175.0,Put,77.0,4.0,-989185.9682671622,3997.761459137228,1974156.794855015,605926.545148597,0.34133375
4200.0,Call,3.0,0.0,-44936.43851722722,175.0272858605599,-1245536.3594261617,25068.96536349964,0.32021896
4200.0,Put,143.0,4.0,-2246201.261106193,8385.966527519086,4614062.667905853,1242583.443146462,0.33371493
4225.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.32021896
4225.0,Put,47.0,76.0,-908426.3287588217,3038.7728192179948,1989222.989580032,448653.98559396015,0.33255182
4250.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.31005943
4250.0,Put,107.0,17.0,-2481592.7426410685,7422.218867336021,5713515.9709606,1079709.7405635105,0.32769537
4275.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.30963029
4275.0,Put,71.0,30.0,-1947286.4513128148,5082.319566314431,4785177.989694644,733218.6222458772,0.32504384
4300.0,Call,2.0,2.0,-64162.53395121587,148.63893455875535,-728106.9456479817,20580.929300527147,0.31017366
4300.0,Put,316.0,55.0,-10037767.132934729,22226.89106835693,26635650.21174021,3194504.8291811845,0.32389402
4325.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.31068305
4325.0,Put,134.0,8.0,-4817140.753969017,8746.149350023816,13897675.376795966,1253791.578571229,0.32318392
4350.0,Call,4.0,0.0,-163304.2065114104,241.3674021714712,-1287135.2350724428,33425.59530587241,0.31008868
4350.0,Put,791.0,24.0,-31514710.698624957,44820.686393059026,98962380.62954317,6387417.379391293,0.32147699
4375.0,Call,4.0,0.0,-176955.17745534529,187.54014753042935,-1188919.4801656776,26046.361483711138,0.31067837
4375.0,Put,66.0,26.0,-2837599.6301072165,2896.2606585045105,9827246.092067027,412377.23923807224,0.32155467
4400.0,Call,220.0,5.0,-10257629.68128248,6604.39685938339,-59635225.69841153,923514.2767385376,0.31198522
4400.0,Put,46.0,71.0,-2087811.9110508352,1300.23088028184,8006211.1584315,184383.75011787386,0.32111464
4425.0,Call,22.0,1.0,-1057109.2366276444,247.97034486720872,-5371398.566198468,35153.850523826666,0.31244153
4425.0,Put,57.0,16.0,-2657565.7813513684,596.8878959289398,11414129.601231886,83846.7684115385,0.32210692
4450.0,Call,98.0,1.0,-4725351.04765008,-808.1487965789652,-21263505.30238825,-109708.35753305678,0.31369748
4450.0,Put,97.0,14.0,-4534031.068927088,-765.3170942825875,21980773.24474172,-113035.47696589008,0.323616
4475.0,Call,75.0,36.0,-3538447.3861267515,-2017.4531994214358,-14276490.208647281,-280901.593388206,0.31560671
4475.0,Put,219.0,43.0,-10022150.165833868,-5566.936244847952,55276296.41552004,-813195.4735540856,0.3257603
4500.0,Call,268.0,120.0,-12102731.200413903,-11645.966496442727,-44190686.196333356,-1636670.4706252646,0.31752023
4500.0,Put,312.0,10.0,-13685969.257211376,-12787.44047285945,86441105.86602364,-1875886.4150326164,0.32813696
4525.0,Call,291.0,316.0,-12281313.888436114,-16485.9763081555,-41142443.24438233,-2343469.806729486,0.32075264
4525.0,Put,89.0,22.0,-3659789.3817333295,-4761.471569236152,26686769.525728997,-705488.0136794689,0.33179856
4550.0,Call,133.0,185.0,-5156282.37986413,-8847.36249792311,-15929981.239403944,-1268773.3254782923,0.32336936
4550.0,Put,84.0,0.0,-3172564.661790952,-5231.188230918672,26893391.911636706,-787688.8500077515,0.33736555
4575.0,Call,36.0,9.0,-1258092.7525963879,-2610.6818946826097,-3624996.4522417504,-378746.8521479724,0.32699902
4575.0,Put,4.0,0.0,-137070.26540604822,-272.5244357456192,1354135.1264334323,-41599.08061738606,0.34207371
4600.0,Call,205.0,94.0,-6362182.667063799,-15433.252789849177,-17188891.011695467,-2263182.013990311,0.33044255
4600.0,Put,364.0,0.0,-11173225.26344941,-25872.90553992833,129124127.49529712,-4004943.3358235196,0.34690548
4625.0,Call,248.0,222.0,-6741333.482385581,-18612.425535937975,-17234749.290293325,-2764874.3180155396,0.33467668
4625.0,Put,117.0,13.0,-3181391.864258433,-8375.068168076563,43161353.47193718,-1314379.2315395053,0.35168729
4650.0,Call,317.0,368.0,-7460959.333701913,-23026.332312612423,-18135541.117451366,-3463797.779069899,0.33886091
4650.0,Put,21.0,0.0,-501301.7832381138,-1466.4557218279692,7992579.856677604,-234457.58835164135,0.3582159
4675.0,Call,339.0,373.0,-6850532.172473133,-23233.659513341143,-15982220.183075283,-3549499.157644255,0.34411182
4675.0,Put,7.0,0.0,-138395.55896412354,-484.70853443717203,2801584.9595693145,-72063.53714803756,0.33288805
4700.0,Call,249.0,440.0,-4291805.232965016,-15805.713420098362,-9661882.594823595,-2453809.614047765,0.34965785
4700.0,Put,7.0,0.0,-116584.49232570823,-444.4317962095913,2860029.9766619657,-67017.15611270575,0.33745577
4725.0,Call,392.0,265.0,-5758980.218388837,-22728.85073585939,-12644924.06131221,-3600187.763448473,0.35672941
4725.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.30808554
4750.0,Call,318.0,257.0,-3973208.5637177397,-16679.76325805662,-8536911.14230237,-2694915.6566201895,0.36385308
4750.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.30310189
